Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Arrhythmogenic Right Ventricular Cardiomyopathy_Homo sapiens_WP2118	11/75	0.00000000000030499081632739434078097533628959626690428652562303568629431538283824920654296875	0.0000000000079297612245122532642021422166875473103164750909854774363338947296142578125	0.00000000000085735703574388061573369392942340464522192611251938387795235030353069305419921875	0.0000000000222912829293408964129728256381665651465751043502905304194428026676177978515625	-1.7793246159100766	45.48024569395364	CACNB1;CACNG6;CACNG7;CACNG8;CACNA1S;CACNG1;CACNA1F;CACNG2;CACNG3;CACNG4;CACNG5
Calcium Regulation in the Cardiac Cell_Mus musculus_WP553	10/150	0.0000000102884723464579150763503195419208691152590517958742566406726837158203125	0.000000133750140503952887720748028514694549784280752646736800670623779296875	0.0000000141764505743718836756938470240220484530624389662989415228366851806640625	0.000000184293857466834486129658786206231280146994322421960532665252685546875	-2.0152246006015693	31.895549006752518	CACNB1;GJD2;KCNJ5;GJC2;GJB4;GJA10;GJA8;CACNA1S;CACNA1H;CACNA1G
Calcium Regulation in the Cardiac Cell_Homo sapiens_WP536	7/149	0.00001854113183606665482051380211547808585237362422049045562744140625	0.00016068980924591102425573463374774973999592475593090057373046875	0.0000255611936648014821042533550876640902060898952186107635498046875	0.000221530345094946164684335254690950023359619081020355224609375	-1.959637251833753	17.11945903536144	CACNB1;GJD2;KCNJ5;GJC2;GJB4;GJA8;CACNA1S
Alzheimers Disease_Mus musculus_WP2075	5/73	0.0000512311098880716692528618227964187781253713183104991912841796875	0.000333002214272465867084260793262728839181363582611083984375	0.000078006877264836428794402001241081734406179748475551605224609375	0.000507044702221436821044930898239044836373068392276763916015625	-1.9062285376899712	15.263860847616831	CACNA1S;GRIN2C;CACNA1F;GRIN2B;GRIN1
Nicotine Activity on Dopaminergic Neurons_Homo sapiens_WP1602	3/22	0.00023100778638151888192374394659367453641607426106929779052734375	0.00120124048918389815347740334772197456914000213146209716796875	0.0003828978491455259651650433472269696721923537552356719970703125	0.0019910688155567349104380081570297988946549594402313232421875	-1.7923446876379756	12.05244354086819	CHRNB2;KCNK9;CHRNA4
Alzheimers Disease_Homo sapiens_WP2059	5/120	0.000529827619318219288253868359817033706349320709705352783203125	0.002190832945309389122312548892068662098608911037445068359375	0.00071188652123885406107495210648039574152790009975433349609375	0.0030848415920350339032574016329135702108033001422882080078125	-1.8578178980008289	11.376298605187465	CACNA1S;GRIN2C;CACNA1F;GRIN2B;GRIN1
Splicing factor NOVA regulated synpatic proteins_Mus musculus_WP1983	3/42	0.001589836764581485650804637543842545710504055023193359375	0.004592861764346514198698034903145526186563074588775634765625	0.0021810581634693023724003158037021421478129923343658447265625	0.006300834694466873713014631874784754472784698009490966796875	-1.7363288364822074	9.347095631505773	KCNQ2;GRIN2B;GRIN1
Hypothetical Network for Drug Addiction_Homo sapiens_WP666	3/32	0.000714857088269967131007043281698543069069273769855499267578125	0.0023232855368773932570880536019330975250340998172760009765625	0.00104692804826314145132115651648518905858509242534637451171875	0.003402516156855209771003867302852086140774190425872802734375	-1.5056700399283065	9.131546877764874	GRIN2C;GRIN2B;GRIN1
Hypothetical Network for Drug Addiction_Mus musculus_WP1246	3/30	0.0005898396391217585431332448564489823183976113796234130859375	0.002190832945309389122312548892068662098608911037445068359375	0.000879729394098737794462083972035770784714259207248687744140625	0.003267566320938168795973144398203658056445419788360595703125	-1.4671153632595306	8.983842000154448	GRIN2C;GRIN2B;GRIN1
SIDS Susceptibility Pathways_Mus musculus_WP1266	3/59	0.0042077999734370201412314571598471957258880138397216796875	0.01023454051536197562111141223795129917562007904052734375	0.005432741618878322333030528312747264862991869449615478515625	0.01389530863122520783214941531014119391329586505889892578125	-1.7389874642334548	7.9680178748853505	CHRNB2;CHRNB4;CHRNA4
